Date,Open,High,Low,Close,Volume
2025-07-28 04:00:00,214.53,214.85,214.34,214.46,7573.0
2025-07-28 04:01:00,214.46,214.59,214.44,214.52,2169.0
2025-07-28 04:02:00,214.52,214.57,214.5,214.55,872.0
2025-07-28 04:03:00,214.53,214.56,214.5,214.54,578.0
2025-07-28 04:04:00,214.54,214.63,214.5,214.6,3074.0
2025-07-28 04:05:00,214.56,214.59,214.54,214.55,960.0
2025-07-28 04:06:00,214.56,214.61,214.52,214.54,1946.0
2025-07-28 04:07:00,214.54,214.58,214.51,214.52,485.0
2025-07-28 04:08:00,214.57,214.57,214.55,214.56,204.0
2025-07-28 04:09:00,214.57,214.58,214.5,214.52,510.0
2025-07-28 04:10:00,214.52,214.57,214.52,214.54,819.0
2025-07-28 04:11:00,214.57,214.58,214.5,214.51,199.0
2025-07-28 04:12:00,214.51,214.54,214.5,214.5,669.0
2025-07-28 04:13:00,214.5,214.52,214.49,214.49,862.0
2025-07-28 04:14:00,214.5,214.5,214.49,214.49,47.0
2025-07-28 04:15:00,214.5,214.51,214.46,214.48,1176.0
2025-07-28 04:16:00,214.47,214.5,214.45,214.49,1301.0
2025-07-28 04:17:00,214.47,214.49,214.3,214.42,2043.0
2025-07-28 04:18:00,214.42,214.45,214.41,214.41,122.0
2025-07-28 04:19:00,214.39,214.45,214.39,214.45,258.0
2025-07-28 04:20:00,214.45,214.52,214.45,214.49,1002.0
2025-07-28 04:21:00,214.52,214.54,214.48,214.48,379.0
2025-07-28 04:22:00,214.48,214.62,214.47,214.61,3009.0
2025-07-28 04:23:00,214.59,214.6,214.52,214.6,114.0
2025-07-28 04:24:00,214.58,214.59,214.51,214.59,305.0
2025-07-28 04:25:00,214.53,214.6,214.52,214.58,596.0
2025-07-28 04:26:00,214.6,214.6,214.46,214.46,520.0
2025-07-28 04:27:00,214.5,214.5,214.4,214.47,575.0
2025-07-28 04:28:00,214.45,214.45,214.42,214.42,22.0
2025-07-28 04:29:00,214.42,214.46,214.42,214.42,830.0
2025-07-28 04:30:00,214.43,214.46,214.42,214.46,96.0
2025-07-28 04:31:00,214.43,214.49,214.43,214.46,784.0
2025-07-28 04:32:00,214.46,214.48,214.44,214.47,411.0
2025-07-28 04:33:00,214.48,214.48,214.45,214.47,134.0
2025-07-28 04:34:00,214.47,214.48,214.45,214.47,87.0
2025-07-28 04:35:00,214.47,214.47,214.45,214.45,239.0
2025-07-28 04:36:00,214.46,214.48,214.44,214.45,1312.0
2025-07-28 04:37:00,214.46,214.5,214.46,214.5,752.0
2025-07-28 04:38:00,214.5,214.53,214.49,214.52,300.0
2025-07-28 04:39:00,214.52,214.54,214.5,214.5,91.0
2025-07-28 04:40:00,214.52,214.52,214.49,214.49,69.0
2025-07-28 04:41:00,214.52,214.52,214.48,214.52,224.0
2025-07-28 04:42:00,214.52,214.52,214.48,214.51,108.0
2025-07-28 04:43:00,214.49,214.52,214.48,214.5,520.0
2025-07-28 04:44:00,214.5,214.54,214.49,214.5,283.0
2025-07-28 04:45:00,214.49,214.5,214.47,214.47,1422.0
2025-07-28 04:46:00,214.48,214.48,214.47,214.47,505.0
2025-07-28 04:47:00,214.47,214.5,214.47,214.47,94.0
2025-07-28 04:48:00,214.47,214.49,214.45,214.49,508.0
2025-07-28 04:49:00,214.48,214.52,214.48,214.5,760.0
2025-07-28 04:50:00,214.49,214.54,214.49,214.54,888.0
2025-07-28 04:51:00,214.53,214.53,214.5,214.52,539.0
2025-07-28 04:52:00,214.5,214.52,214.49,214.52,289.0
2025-07-28 04:53:00,214.5,214.52,214.45,214.46,531.0
2025-07-28 04:54:00,214.48,214.5,214.46,214.47,968.0
2025-07-28 04:55:00,214.47,214.52,214.47,214.47,541.0
2025-07-28 04:56:00,214.48,214.5,214.45,214.45,123.0
2025-07-28 04:57:00,214.49,214.54,214.49,214.5,1598.0
2025-07-28 04:58:00,214.48,214.5,214.46,214.5,51.0
2025-07-28 04:59:00,214.46,214.49,214.45,214.49,651.0
2025-07-28 05:00:00,214.48,214.49,214.46,214.49,280.0
2025-07-28 05:01:00,214.49,214.49,214.46,214.46,60.0
2025-07-28 05:02:00,214.5,214.5,214.48,214.5,8.0
2025-07-28 05:03:00,214.5,214.5,214.48,214.48,336.0
2025-07-28 05:04:00,214.5,214.58,214.5,214.57,1619.0
2025-07-28 05:05:00,214.52,214.57,214.52,214.52,127.0
2025-07-28 05:06:00,214.56,214.57,214.51,214.51,6.0
2025-07-28 05:07:00,214.56,214.56,214.52,214.52,5.0
2025-07-28 05:08:00,214.52,214.56,214.51,214.52,180.0
2025-07-28 05:09:00,214.56,214.56,214.53,214.54,49.0
2025-07-28 05:10:00,214.58,214.58,214.53,214.53,153.0
2025-07-28 05:11:00,214.52,214.52,214.5,214.5,341.0
2025-07-28 05:12:00,214.5,214.51,214.46,214.46,391.0
2025-07-28 05:13:00,214.48,214.48,214.47,214.48,80.0
2025-07-28 05:14:00,214.46,214.48,214.45,214.46,123.0
2025-07-28 05:15:00,214.48,214.48,214.45,214.47,675.0
2025-07-28 05:16:00,214.48,214.48,214.43,214.43,2028.0
2025-07-28 05:17:00,214.44,214.44,214.44,214.44,60.0
2025-07-28 05:18:00,214.44,214.44,214.44,214.44,217.0
2025-07-28 05:19:00,214.44,214.46,214.44,214.46,33.0
2025-07-28 05:20:00,214.46,214.46,214.44,214.46,182.0
2025-07-28 05:21:00,214.46,214.46,214.45,214.45,262.0
2025-07-28 05:22:00,214.46,214.46,214.44,214.45,423.0
2025-07-28 05:23:00,214.46,214.48,214.45,214.48,7.0
2025-07-28 05:24:00,214.48,214.48,214.33,214.41,3621.0
2025-07-28 05:25:00,214.41,214.42,214.4,214.4,308.0
2025-07-28 05:26:00,214.42,214.43,214.42,214.43,70.0
2025-07-28 05:27:00,214.42,214.45,214.42,214.44,215.0
2025-07-28 05:28:00,214.42,214.44,214.41,214.42,318.0
2025-07-28 05:29:00,214.4,214.41,214.36,214.41,243.0
2025-07-28 05:30:00,214.42,214.42,214.38,214.39,122.0
2025-07-28 05:31:00,214.41,214.48,214.41,214.48,71.0
2025-07-28 05:32:00,214.46,214.49,214.46,214.49,20.0
2025-07-28 05:33:00,214.49,214.49,214.45,214.45,206.0
2025-07-28 05:34:00,214.44,214.45,214.38,214.4,308.0
2025-07-28 05:35:00,214.4,214.42,214.39,214.4,78.0
2025-07-28 05:36:00,214.42,214.43,214.4,214.4,195.0
2025-07-28 05:37:00,214.41,214.41,214.41,214.41,3.0
2025-07-28 05:38:00,214.4,214.4,214.38,214.4,52.0
2025-07-28 05:39:00,214.4,214.42,214.4,214.42,36.0
2025-07-28 05:40:00,214.42,214.42,214.42,214.42,20.0
2025-07-28 05:41:00,214.42,214.42,214.39,214.41,88.0
2025-07-28 05:42:00,214.41,214.45,214.41,214.45,13.0
2025-07-28 05:43:00,214.42,214.45,214.42,214.45,21.0
2025-07-28 05:44:00,214.46,214.46,214.4,214.42,21.0
2025-07-28 05:45:00,214.42,214.47,214.4,214.45,225.0
2025-07-28 05:46:00,214.42,214.47,214.42,214.47,44.0
2025-07-28 05:47:00,214.42,214.46,214.42,214.42,8.0
2025-07-28 05:48:00,214.45,214.45,214.45,214.45,23.0
2025-07-28 05:49:00,214.45,214.46,214.43,214.43,215.0
2025-07-28 05:50:00,214.45,214.46,214.43,214.44,39.0
2025-07-28 05:51:00,214.44,214.44,214.42,214.44,483.0
2025-07-28 05:52:00,214.43,214.43,214.43,214.43,17.0
2025-07-28 05:53:00,214.43,214.44,214.42,214.42,131.0
2025-07-28 05:54:00,214.44,214.46,214.43,214.43,70.0
2025-07-28 05:55:00,214.43,214.46,214.42,214.42,376.0
2025-07-28 05:56:00,214.42,214.45,214.41,214.45,287.0
2025-07-28 05:57:00,214.45,214.45,214.41,214.42,42.0
2025-07-28 05:58:00,214.46,214.5,214.45,214.5,1237.0
2025-07-28 05:59:00,214.48,214.48,214.43,214.43,312.0
2025-07-28 06:00:00,214.46,214.46,214.41,214.44,187.0
2025-07-28 06:01:00,214.43,214.48,214.43,214.48,14.0
2025-07-28 06:02:00,214.47,214.47,214.47,214.47,33.0
2025-07-28 06:03:00,214.46,214.46,214.46,214.46,23.0
2025-07-28 06:04:00,214.47,214.48,214.47,214.48,112.0
2025-07-28 06:05:00,214.48,214.51,214.47,214.48,567.0
2025-07-28 06:06:00,214.52,214.53,214.48,214.48,586.0
2025-07-28 06:07:00,214.47,214.47,214.44,214.47,214.0
2025-07-28 06:08:00,214.43,214.47,214.43,214.47,140.0
2025-07-28 06:09:00,214.47,214.49,214.46,214.48,1086.0
2025-07-28 06:10:00,214.45,214.5,214.41,214.48,969.0
2025-07-28 06:11:00,214.47,214.51,214.47,214.5,186.0
2025-07-28 06:12:00,214.51,214.52,214.49,214.52,82.0
2025-07-28 06:13:00,214.51,214.51,214.43,214.49,480.0
2025-07-28 06:14:00,214.5,214.5,214.49,214.49,6.0
2025-07-28 06:15:00,214.53,214.55,214.5,214.55,113.0
2025-07-28 06:16:00,214.57,214.57,214.51,214.55,147.0
2025-07-28 06:17:00,214.56,214.58,214.55,214.58,949.0
2025-07-28 06:18:00,214.58,214.6,214.56,214.59,1315.0
2025-07-28 06:19:00,214.59,214.59,214.49,214.49,231.0
2025-07-28 06:20:00,214.51,214.52,214.51,214.52,80.0
2025-07-28 06:21:00,214.51,214.52,214.51,214.52,5.0
2025-07-28 06:22:00,214.51,214.53,214.5,214.5,12.0
2025-07-28 06:23:00,214.51,214.55,214.5,214.51,526.0
2025-07-28 06:24:00,214.53,214.55,214.53,214.53,11.0
2025-07-28 06:25:00,214.54,214.54,214.46,214.47,595.0
2025-07-28 06:26:00,214.46,214.51,214.45,214.51,123.0
2025-07-28 06:27:00,214.5,214.51,214.5,214.51,11.0
2025-07-28 06:28:00,214.5,214.5,214.43,214.45,1564.0
2025-07-28 06:29:00,214.45,214.47,214.45,214.47,2744.0
2025-07-28 06:30:00,214.43,214.45,214.41,214.42,192.0
2025-07-28 06:31:00,214.43,214.47,214.41,214.47,490.0
2025-07-28 06:32:00,214.46,214.51,214.45,214.51,172.0
2025-07-28 06:33:00,214.51,214.51,214.45,214.5,47.0
2025-07-28 06:34:00,214.45,214.45,214.45,214.45,117.0
2025-07-28 06:35:00,214.45,214.49,214.45,214.45,12.0
2025-07-28 06:36:00,214.5,214.5,214.47,214.5,275.0
2025-07-28 06:37:00,214.5,214.54,214.45,214.49,512.0
2025-07-28 06:38:00,214.48,214.49,214.45,214.45,68.0
2025-07-28 06:39:00,214.47,214.47,214.41,214.45,931.0
2025-07-28 06:40:00,214.41,214.42,214.4,214.4,506.0
2025-07-28 06:41:00,214.43,214.43,214.35,214.36,235.0
2025-07-28 06:42:00,214.37,214.41,214.34,214.36,941.0
2025-07-28 06:43:00,214.36,214.7,214.34,214.5,5137.0
2025-07-28 06:44:00,214.5,214.5,214.31,214.34,1047.0
2025-07-28 06:45:00,214.35,214.4,214.3,214.31,572.0
2025-07-28 06:46:00,214.31,214.45,214.3,214.33,1837.0
2025-07-28 06:48:00,214.35,214.35,214.35,214.35,5.0
2025-07-28 06:49:00,214.4,214.43,214.34,214.38,503.0
2025-07-28 06:50:00,214.38,214.4,214.31,214.4,184.0
2025-07-28 06:51:00,214.36,214.48,214.35,214.48,479.0
